corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,79298,941058,836422,211.5717,752.031,3297.214,0.0213,0.0049,0.0200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,79298,941058,836422,211.5717,670.545,3402.503,0.0239,0.0047,0.0300,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,79298,941058,836422,211.5717,753.228,3432.627,0.0212,0.0047,0.0200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,79298,941058,836422,211.5717,766.479,3461.284,0.0209,0.0046,0.0300,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,79298,941058,836422,211.5717,748.871,3477.845,0.0214,0.0046,0.0200,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1198997,1198997,732698,791225,53915,1.6364,99.275,260.612,0.0115,0.0044,0.0100,0.0000,d7e756d93eeeb28c30185c7ebc18580d0a44561dd567373d9b2ae29115445996
src,full,1,1198997,1198997,732698,791225,53915,1.6364,100.890,258.033,0.0113,0.0044,0.0200,0.0000,d7e756d93eeeb28c30185c7ebc18580d0a44561dd567373d9b2ae29115445996
src,full,2,1198997,1198997,732698,791225,53915,1.6364,92.017,268.701,0.0124,0.0043,0.0200,0.0000,d7e756d93eeeb28c30185c7ebc18580d0a44561dd567373d9b2ae29115445996
urandom,full,0,8388608,8388608,8413743,9210306,790256,0.9970,320.381,3822.296,0.0250,0.0021,0.0200,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9210306,790256,0.9970,327.311,3737.862,0.0244,0.0021,0.0200,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9210306,790256,0.9970,326.542,3582.456,0.0245,0.0022,0.0200,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,231697,231697,233358,243267,5297,0.9929,359.064,3333.084,0.0006,0.0001,0.0000,0.0000,ea4c66df6beed4e7942912a7ad8c4d928ef8658dd2870aa5c9116b71e1360359
compressed-z19,full,1,231697,231697,233358,243267,5297,0.9929,353.561,3568.820,0.0006,0.0001,0.0000,0.0000,ea4c66df6beed4e7942912a7ad8c4d928ef8658dd2870aa5c9116b71e1360359
compressed-z19,full,2,231697,231697,233358,243267,5297,0.9929,352.640,3709.246,0.0006,0.0001,0.0000,0.0000,ea4c66df6beed4e7942912a7ad8c4d928ef8658dd2870aa5c9116b71e1360359
versioned,full,0,4194304,33554432,2463484,47451108,44954533,1.7026,119.399,570.804,0.2680,0.0070,0.2500,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,2463484,47451108,44954533,1.7026,119.312,545.969,0.2682,0.0073,0.2500,0.0300,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,2463484,47451108,44954533,1.7026,118.488,577.166,0.2701,0.0069,0.2500,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,2141320,20659925,18485514,1.9587,168.325,633.867,0.1901,0.0063,0.1900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,2141320,20659925,18485514,1.9587,166.458,651.486,0.1922,0.0061,0.1800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,2141320,20659925,18485514,1.9587,167.682,649.692,0.1908,0.0062,0.1900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2655556,21959789,19271181,1.5794,112.390,405.030,0.2847,0.0099,0.2800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2655556,21959789,19271181,1.5794,112.093,387.898,0.2855,0.0103,0.2700,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2655556,21959789,19271181,1.5794,110.122,399.440,0.2906,0.0100,0.2900,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
