corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,17151,1092924,808545,978.2063,331.324,3129.997,0.0483,0.0051,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,17151,1092924,808545,978.2063,384.857,3058.777,0.0416,0.0052,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,17151,1092924,808545,978.2063,379.205,3118.220,0.0422,0.0051,0.0500,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,17151,1092924,808545,978.2063,388.359,3110.380,0.0412,0.0051,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,17151,1092924,808545,978.2063,382.277,3109.205,0.0419,0.0051,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1383420,1383420,11083,490553,474858,124.8236,54.394,379.039,0.0243,0.0035,0.0300,0.0000,cc616dde6dff95f4e781ccff89167da981d6a9ac73c93a1db5354c2179d54ac2
src,full,1,1383420,1383420,11083,490553,474858,124.8236,55.777,382.637,0.0237,0.0034,0.0300,0.0000,cc616dde6dff95f4e781ccff89167da981d6a9ac73c93a1db5354c2179d54ac2
src,full,2,1383420,1383420,11083,490553,474858,124.8236,56.144,386.621,0.0235,0.0034,0.0300,0.0000,cc616dde6dff95f4e781ccff89167da981d6a9ac73c93a1db5354c2179d54ac2
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,97.224,4122.407,0.0823,0.0019,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,97.991,4181.974,0.0816,0.0019,0.0800,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,96.304,4021.099,0.0831,0.0020,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,259520,259520,261181,269302,3509,0.9936,97.139,3806.952,0.0025,0.0001,0.0000,0.0000,27a2ea01938611f1de72624781e841c92b5902c383673f012900f2782f3c146d
compressed-z19,full,1,259520,259520,261181,269302,3509,0.9936,100.438,3799.355,0.0025,0.0001,0.0000,0.0000,27a2ea01938611f1de72624781e841c92b5902c383673f012900f2782f3c146d
compressed-z19,full,2,259520,259520,261181,269302,3509,0.9936,98.149,4012.281,0.0025,0.0001,0.0100,0.0000,27a2ea01938611f1de72624781e841c92b5902c383673f012900f2782f3c146d
versioned,full,0,4194304,33554432,1449257,44398221,42884973,2.8941,97.081,926.505,0.3296,0.0043,0.3200,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1449257,44398221,42884973,2.8941,97.074,856.726,0.3296,0.0047,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1449257,44398221,42884973,2.8941,97.466,929.817,0.3283,0.0043,0.3100,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1128735,14175366,12982640,3.7159,98.747,1123.982,0.3241,0.0036,0.3100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1128735,14175366,12982640,3.7159,97.915,1130.154,0.3268,0.0035,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1128735,14175366,12982640,3.7159,98.929,1096.319,0.3235,0.0036,0.3200,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,1150655,15849101,14638364,3.6451,86.024,1093.883,0.3720,0.0037,0.3700,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,1150655,15849101,14638364,3.6451,86.366,1083.840,0.3705,0.0037,0.3600,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,1150655,15849101,14638364,3.6451,86.118,1044.194,0.3716,0.0038,0.3700,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
