corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,330.008,3126.855,0.0485,0.0051,0.0400,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,392.862,3054.749,0.0407,0.0052,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,385.732,3019.037,0.0415,0.0053,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,390.708,3047.834,0.0410,0.0052,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,385.322,3046.829,0.0415,0.0053,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1471135,1471135,439989,515752,71151,3.3436,56.787,381.426,0.0247,0.0037,0.0300,0.0000,4c51a1de54330f45aac02b9a3bcdc0e551f95ce5a4f06d191415ca92b46d4070
src,full,1,1471135,1471135,439989,515752,71151,3.3436,56.583,383.220,0.0248,0.0037,0.0300,0.0000,4c51a1de54330f45aac02b9a3bcdc0e551f95ce5a4f06d191415ca92b46d4070
src,full,2,1471135,1471135,439989,515752,71151,3.3436,57.232,378.581,0.0245,0.0037,0.0300,0.0000,4c51a1de54330f45aac02b9a3bcdc0e551f95ce5a4f06d191415ca92b46d4070
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,97.657,4288.298,0.0819,0.0019,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,98.285,4066.710,0.0814,0.0020,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,97.935,4113.703,0.0817,0.0019,0.0800,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,267366,267366,269211,278320,4497,0.9931,98.323,3712.149,0.0026,0.0001,0.0100,0.0000,63055624cb686fbbfdc50ac881702a1a2534ccca405bfda60c4b4bc77184b1fc
compressed-z19,full,1,267366,267366,269211,278320,4497,0.9931,100.885,3727.343,0.0025,0.0001,0.0000,0.0000,63055624cb686fbbfdc50ac881702a1a2534ccca405bfda60c4b4bc77184b1fc
compressed-z19,full,2,267366,267366,269211,278320,4497,0.9931,98.303,4145.681,0.0026,0.0001,0.0000,0.0000,63055624cb686fbbfdc50ac881702a1a2534ccca405bfda60c4b4bc77184b1fc
versioned,full,0,4194304,33554432,1524135,44398221,42810095,2.7519,95.039,880.371,0.3367,0.0045,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1524135,44398221,42810095,2.7519,97.542,883.497,0.3281,0.0045,0.3100,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1524135,44398221,42810095,2.7519,97.366,883.685,0.3287,0.0045,0.3300,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1208262,14175366,12903113,3.4714,98.217,1108.021,0.3258,0.0036,0.3100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1208262,14175366,12903113,3.4714,99.740,1118.460,0.3208,0.0036,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1208262,14175366,12903113,3.4714,100.030,1126.552,0.3199,0.0036,0.3200,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,1229568,15849101,14559451,3.4112,86.192,1086.688,0.3713,0.0037,0.3700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,1229568,15849101,14559451,3.4112,86.169,1091.101,0.3714,0.0037,0.3700,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,1229568,15849101,14559451,3.4112,86.187,1089.139,0.3713,0.0037,0.3600,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
