corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,334.337,3142.498,0.0479,0.0051,0.0500,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,384.848,3242.024,0.0416,0.0049,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,394.446,3228.705,0.0406,0.0050,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,401.787,2961.163,0.0398,0.0054,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,397.783,3223.225,0.0402,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1504803,1504803,449796,525559,71151,3.3455,55.154,380.117,0.0260,0.0038,0.0300,0.0000,b446868957f542c1666fdc791e2c2888b676c853f7dbc26fcfb8022033fbbe5d
src,full,1,1504803,1504803,449796,525559,71151,3.3455,56.367,384.011,0.0255,0.0037,0.0300,0.0000,b446868957f542c1666fdc791e2c2888b676c853f7dbc26fcfb8022033fbbe5d
src,full,2,1504803,1504803,449796,525559,71151,3.3455,56.496,374.026,0.0254,0.0038,0.0300,0.0000,b446868957f542c1666fdc791e2c2888b676c853f7dbc26fcfb8022033fbbe5d
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,96.016,4168.771,0.0833,0.0019,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,97.285,3936.965,0.0822,0.0020,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,95.971,4056.034,0.0834,0.0020,0.0900,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,272332,272332,274177,283286,4497,0.9933,97.741,3613.491,0.0027,0.0001,0.0000,0.0000,61a0881d975e8fd385630b4ef908e85ff998249ebd3185ee867a0a8f16128794
compressed-z19,full,1,272332,272332,274177,283286,4497,0.9933,97.893,3702.243,0.0027,0.0001,0.0000,0.0000,61a0881d975e8fd385630b4ef908e85ff998249ebd3185ee867a0a8f16128794
compressed-z19,full,2,272332,272332,274177,283286,4497,0.9933,101.319,3634.781,0.0026,0.0001,0.0100,0.0000,61a0881d975e8fd385630b4ef908e85ff998249ebd3185ee867a0a8f16128794
versioned,full,0,4194304,33554432,1524135,44398221,42810095,2.7519,79.859,922.814,0.4007,0.0043,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1524135,44398221,42810095,2.7519,77.454,882.912,0.4132,0.0045,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1524135,44398221,42810095,2.7519,78.569,802.757,0.4073,0.0050,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1208262,14175366,12903113,3.4714,100.436,1101.192,0.3186,0.0036,0.3100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1208262,14175366,12903113,3.4714,100.517,1096.269,0.3184,0.0036,0.3100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1208262,14175366,12903113,3.4714,92.149,1139.933,0.3473,0.0035,0.3400,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,80.894,875.324,0.3956,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,80.351,856.896,0.3983,0.0047,0.3800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,80.504,869.782,0.3975,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
