corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,341.620,3192.248,0.0468,0.0050,0.0400,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,388.876,3175.592,0.0411,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,390.194,3168.315,0.0410,0.0051,0.0400,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,391.247,3161.466,0.0409,0.0051,0.0400,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,390.851,3166.782,0.0409,0.0051,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1582503,1582503,467025,554754,83117,3.3885,55.779,392.043,0.0271,0.0038,0.0300,0.0000,7bc4cc85a34f0e5042cd68bd10626c03c3f0dadd1126a21a61318cd18bd1f3d3
src,full,1,1582503,1582503,467025,554754,83117,3.3885,57.241,387.879,0.0264,0.0039,0.0300,0.0000,7bc4cc85a34f0e5042cd68bd10626c03c3f0dadd1126a21a61318cd18bd1f3d3
src,full,2,1582503,1582503,467025,554754,83117,3.3885,57.531,392.596,0.0262,0.0038,0.0300,0.0000,7bc4cc85a34f0e5042cd68bd10626c03c3f0dadd1126a21a61318cd18bd1f3d3
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,97.706,4089.770,0.0819,0.0020,0.0800,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,97.003,4124.840,0.0825,0.0019,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,97.549,4079.574,0.0820,0.0020,0.0800,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,276659,276659,278504,287613,4497,0.9934,98.693,3734.449,0.0027,0.0001,0.0000,0.0000,48f9eb9059226ffa2c176855fbc2fdd45820f3ff6400ece466e9fa03e94e8ad2
compressed-z19,full,1,276659,276659,278504,287613,4497,0.9934,100.542,3743.404,0.0026,0.0001,0.0100,0.0000,48f9eb9059226ffa2c176855fbc2fdd45820f3ff6400ece466e9fa03e94e8ad2
compressed-z19,full,2,276659,276659,278504,287613,4497,0.9934,98.449,3797.936,0.0027,0.0001,0.0000,0.0000,48f9eb9059226ffa2c176855fbc2fdd45820f3ff6400ece466e9fa03e94e8ad2
versioned,full,0,4194304,33554432,1524135,44398221,42810095,2.7519,78.842,880.152,0.4059,0.0045,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1524135,44398221,42810095,2.7519,78.606,874.570,0.4071,0.0046,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1524135,44398221,42810095,2.7519,79.249,876.429,0.4038,0.0046,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1208262,14175366,12903113,3.4714,98.597,1145.444,0.3246,0.0035,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1208262,14175366,12903113,3.4714,98.118,1107.783,0.3261,0.0036,0.3200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1208262,14175366,12903113,3.4714,99.130,1121.467,0.3228,0.0036,0.3100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,78.858,872.121,0.4058,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,79.069,862.349,0.4047,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,79.614,886.889,0.4019,0.0045,0.4000,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
