corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,313.361,3150.328,0.0511,0.0051,0.0500,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,363.127,3221.053,0.0441,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,359.278,3203.627,0.0445,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,368.331,3145.902,0.0434,0.0051,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,360.316,3223.888,0.0444,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1689051,1689051,489355,583418,89451,3.4516,57.352,393.593,0.0281,0.0041,0.0300,0.0000,ee74afbcadbfb6fd7fa36d4d226a5b54e1a57ea8da3e6a91ea8eea462e9954d9
src,full,1,1689051,1689051,489355,583418,89451,3.4516,57.438,398.459,0.0280,0.0040,0.0400,0.0000,ee74afbcadbfb6fd7fa36d4d226a5b54e1a57ea8da3e6a91ea8eea462e9954d9
src,full,2,1689051,1689051,489355,583418,89451,3.4516,57.018,389.993,0.0283,0.0041,0.0300,0.0100,ee74afbcadbfb6fd7fa36d4d226a5b54e1a57ea8da3e6a91ea8eea462e9954d9
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,95.700,4367.675,0.0836,0.0018,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,94.134,3891.626,0.0850,0.0021,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,94.903,3466.014,0.0843,0.0023,0.0900,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,285084,285084,286929,296038,4497,0.9936,96.076,3319.909,0.0028,0.0001,0.0000,0.0000,e14f00666c3b35c8604f4802bbd5a20af5cd49a477e34001946788398a9add00
compressed-z19,full,1,285084,285084,286929,296038,4497,0.9936,94.938,3837.256,0.0029,0.0001,0.0100,0.0000,e14f00666c3b35c8604f4802bbd5a20af5cd49a477e34001946788398a9add00
compressed-z19,full,2,285084,285084,286929,296038,4497,0.9936,95.395,3473.316,0.0029,0.0001,0.0000,0.0000,e14f00666c3b35c8604f4802bbd5a20af5cd49a477e34001946788398a9add00
versioned,full,0,4194304,33554432,1528175,44446424,42854258,2.7446,81.063,1118.175,0.3948,0.0036,0.3700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44446424,42854258,2.7446,80.600,1191.880,0.3970,0.0034,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44446424,42854258,2.7446,81.460,1156.348,0.3928,0.0035,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14450895,13172150,3.4528,116.197,1533.485,0.2754,0.0026,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14450895,13172150,3.4528,116.170,1492.113,0.2755,0.0027,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14450895,13172150,3.4528,114.507,1502.439,0.2795,0.0027,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,78.761,865.855,0.4063,0.0046,0.3900,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,78.668,849.508,0.4068,0.0047,0.4000,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,78.644,821.011,0.4069,0.0049,0.4000,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
