corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,305.328,3144.001,0.0524,0.0051,0.0400,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,357.926,3082.063,0.0447,0.0052,0.0500,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,351.399,3220.436,0.0455,0.0050,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,343.130,3147.254,0.0466,0.0051,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,360.516,3066.393,0.0444,0.0052,0.0500,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1766663,1766663,504689,605320,96019,3.5005,56.182,387.895,0.0300,0.0043,0.0400,0.0000,6672a838318da76e44bd1c31d325af3b88d3c21fc1780e6ca4c6f5c3a0202ac6
src,full,1,1766663,1766663,504689,605320,96019,3.5005,54.992,387.961,0.0306,0.0043,0.0300,0.0000,6672a838318da76e44bd1c31d325af3b88d3c21fc1780e6ca4c6f5c3a0202ac6
src,full,2,1766663,1766663,504689,605320,96019,3.5005,55.620,391.307,0.0303,0.0043,0.0400,0.0000,6672a838318da76e44bd1c31d325af3b88d3c21fc1780e6ca4c6f5c3a0202ac6
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,90.869,4098.774,0.0880,0.0020,0.0800,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,91.222,4017.991,0.0877,0.0020,0.0900,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,91.210,3935.199,0.0877,0.0020,0.0800,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,289210,289210,291055,300164,4497,0.9937,86.660,3353.176,0.0032,0.0001,0.0000,0.0000,785b0bc6e766a1717a9f6c0ef93ed1ae8d25420d1b3f85f4c371015c2cba511f
compressed-z19,full,1,289210,289210,291055,300164,4497,0.9937,96.000,3723.769,0.0029,0.0001,0.0100,0.0000,785b0bc6e766a1717a9f6c0ef93ed1ae8d25420d1b3f85f4c371015c2cba511f
compressed-z19,full,2,289210,289210,291055,300164,4497,0.9937,96.152,3398.334,0.0029,0.0001,0.0000,0.0000,785b0bc6e766a1717a9f6c0ef93ed1ae8d25420d1b3f85f4c371015c2cba511f
versioned,full,0,4194304,33554432,1528175,44446424,42854258,2.7446,80.083,1148.085,0.3996,0.0035,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44446424,42854258,2.7446,80.157,1166.007,0.3992,0.0034,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44446424,42854258,2.7446,80.129,1175.146,0.3994,0.0034,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14450895,13172150,3.4528,114.533,1501.269,0.2794,0.0027,0.2600,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14450895,13172150,3.4528,113.126,1568.567,0.2829,0.0026,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14450895,13172150,3.4528,115.841,1458.637,0.2762,0.0027,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,80.391,851.026,0.3981,0.0047,0.3800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,80.196,855.306,0.3990,0.0047,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,78.546,826.980,0.4074,0.0048,0.4000,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
