corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,67868,5144196,3987916,988.8145,305.204,3126.566,0.2097,0.0205,0.1900,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,67868,5144196,3987916,988.8145,347.648,3161.803,0.1841,0.0202,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,67868,5144196,3987916,988.8145,352.131,3051.447,0.1818,0.0210,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,67868,5144196,3987916,988.8145,344.406,3098.510,0.1858,0.0207,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,67868,5144196,3987916,988.8145,349.028,3073.270,0.1834,0.0208,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,1719719,1719719,497751,598382,96019,3.4550,57.021,382.513,0.0288,0.0043,0.0300,0.0000,6ae75a36bdc221218b8179370086910fd65ffa87b1be7c5bc7be089211c93e34
src,full,1,1719719,1719719,497751,598382,96019,3.4550,56.818,396.262,0.0289,0.0041,0.0300,0.0000,6ae75a36bdc221218b8179370086910fd65ffa87b1be7c5bc7be089211c93e34
src,full,2,1719719,1719719,497751,598382,96019,3.4550,56.411,391.809,0.0291,0.0042,0.0300,0.0000,6ae75a36bdc221218b8179370086910fd65ffa87b1be7c5bc7be089211c93e34
urandom,full,0,33554432,33554432,33652515,37208116,3549294,0.9971,95.643,3938.193,0.3346,0.0081,0.3300,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,37208116,3549294,0.9971,94.093,3998.704,0.3401,0.0080,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,37208116,3549294,0.9971,94.579,3966.067,0.3383,0.0081,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,290298,290298,292143,301252,4497,0.9937,97.785,3330.123,0.0028,0.0001,0.0100,0.0000,b5a241b3d60f7bacb24de1df17ed697b8df34bbe33a17df36f0c3d9be9f07325
compressed-z19,full,1,290298,290298,292143,301252,4497,0.9937,95.335,3525.132,0.0029,0.0001,0.0000,0.0000,b5a241b3d60f7bacb24de1df17ed697b8df34bbe33a17df36f0c3d9be9f07325
compressed-z19,full,2,290298,290298,292143,301252,4497,0.9937,100.065,3559.624,0.0028,0.0001,0.0000,0.0000,b5a241b3d60f7bacb24de1df17ed697b8df34bbe33a17df36f0c3d9be9f07325
versioned,full,0,4194304,33554432,1528175,44446424,42854258,2.7446,80.338,1181.767,0.3983,0.0034,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44446424,42854258,2.7446,80.680,1153.137,0.3966,0.0035,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44446424,42854258,2.7446,80.989,1181.994,0.3951,0.0034,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14450895,13172150,3.4528,114.999,1521.728,0.2783,0.0026,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14450895,13172150,3.4528,117.981,1549.214,0.2712,0.0026,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14450895,13172150,3.4528,116.877,1521.646,0.2738,0.0026,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,79.662,885.841,0.4017,0.0045,0.4000,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,79.679,857.595,0.4016,0.0047,0.4000,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,79.591,856.952,0.4021,0.0047,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
