corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,67868,5144196,3987916,988.8145,302.677,3072.292,0.2114,0.0208,0.1800,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,67868,5144196,3987916,988.8145,356.388,3117.967,0.1796,0.0205,0.2000,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,67868,5144196,3987916,988.8145,355.780,3135.119,0.1799,0.0204,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,67868,5144196,3987916,988.8145,355.411,3178.573,0.1801,0.0201,0.2000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,67868,5144196,3987916,988.8145,355.707,3103.086,0.1799,0.0206,0.1900,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,1805764,1805764,517331,624764,102821,3.4905,58.177,401.995,0.0296,0.0043,0.0300,0.0000,b33da8fcb782c0ccfcf687643544dc216d5c72d84b22ed4a066f677ce8861421
src,full,1,1805764,1805764,517331,624764,102821,3.4905,56.582,396.458,0.0304,0.0043,0.0400,0.0000,b33da8fcb782c0ccfcf687643544dc216d5c72d84b22ed4a066f677ce8861421
src,full,2,1805764,1805764,517331,624764,102821,3.4905,57.969,400.342,0.0297,0.0043,0.0300,0.0000,b33da8fcb782c0ccfcf687643544dc216d5c72d84b22ed4a066f677ce8861421
urandom,full,0,33554432,33554432,33652515,37208116,3549294,0.9971,94.822,4026.849,0.3375,0.0079,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,37208116,3549294,0.9971,93.212,4012.144,0.3433,0.0080,0.3300,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,37208116,3549294,0.9971,94.769,4085.212,0.3377,0.0078,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,295947,295947,297792,306901,4497,0.9938,93.568,3648.595,0.0030,0.0001,0.0000,0.0000,02e2c9030f3186f3ce15f43a2e0e0977ba6cacb7fc68e246c45f17f4d8135e02
compressed-z19,full,1,295947,295947,297792,306901,4497,0.9938,98.865,3815.664,0.0029,0.0001,0.0100,0.0000,02e2c9030f3186f3ce15f43a2e0e0977ba6cacb7fc68e246c45f17f4d8135e02
compressed-z19,full,2,295947,295947,297792,306901,4497,0.9938,100.382,4131.830,0.0028,0.0001,0.0000,0.0000,02e2c9030f3186f3ce15f43a2e0e0977ba6cacb7fc68e246c45f17f4d8135e02
versioned,full,0,4194304,33554432,1528175,44446424,42854258,2.7446,78.220,1174.863,0.4091,0.0034,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44446424,42854258,2.7446,80.725,1164.624,0.3964,0.0034,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44446424,42854258,2.7446,80.813,1154.544,0.3960,0.0035,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14450895,13172150,3.4528,117.678,1591.572,0.2719,0.0025,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14450895,13172150,3.4528,117.180,1495.602,0.2731,0.0027,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14450895,13172150,3.4528,116.562,1563.488,0.2745,0.0026,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,80.072,876.597,0.3996,0.0046,0.3900,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,80.355,874.797,0.3982,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,79.871,871.602,0.4006,0.0046,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
