corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,54353,3606069,3447754,1234.6856,589.086,2873.858,0.1086,0.0223,0.0900,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,54353,3606069,3447754,1234.6856,774.136,2806.994,0.0827,0.0228,0.1000,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,54353,3606069,3447754,1234.6856,767.955,2872.730,0.0833,0.0223,0.1000,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,54353,3606069,3447754,1234.6856,762.619,2901.507,0.0839,0.0221,0.1000,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,54353,3606069,3447754,1234.6856,760.486,2849.760,0.0842,0.0225,0.1100,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,1905413,1905413,542189,663928,117127,3.5143,57.388,401.471,0.0317,0.0045,0.0400,0.0000,aee6da9d8f9dc36e3e20c6cc0278a973bca90e1cf8370151afd5c3819959064b
src,full,1,1905413,1905413,542189,663928,117127,3.5143,56.582,402.521,0.0321,0.0045,0.0300,0.0000,aee6da9d8f9dc36e3e20c6cc0278a973bca90e1cf8370151afd5c3819959064b
src,full,2,1905413,1905413,542189,663928,117127,3.5143,57.873,386.376,0.0314,0.0047,0.0400,0.0000,aee6da9d8f9dc36e3e20c6cc0278a973bca90e1cf8370151afd5c3819959064b
urandom,full,0,33554432,33554432,33652515,37208116,3549294,0.9971,89.408,3962.646,0.3579,0.0081,0.3600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,37208116,3549294,0.9971,89.067,3717.077,0.3593,0.0086,0.3600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,37208116,3549294,0.9971,89.826,3828.434,0.3562,0.0084,0.3600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,303394,303394,305239,314348,4497,0.9940,93.607,3539.229,0.0031,0.0001,0.0000,0.0000,ec2e334264c57413e86abbf24a368ab107571c01e94f2d2d7826af8f65199c46
compressed-z19,full,1,303394,303394,305239,314348,4497,0.9940,94.277,3450.428,0.0031,0.0001,0.0100,0.0000,ec2e334264c57413e86abbf24a368ab107571c01e94f2d2d7826af8f65199c46
compressed-z19,full,2,303394,303394,305239,314348,4497,0.9940,93.000,3877.552,0.0031,0.0001,0.0000,0.0000,ec2e334264c57413e86abbf24a368ab107571c01e94f2d2d7826af8f65199c46
versioned,full,0,4194304,33554432,1528175,44420708,42859442,2.7446,78.835,1140.651,0.4059,0.0035,0.4000,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44420708,42859442,2.7446,79.425,1198.666,0.4029,0.0033,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44420708,42859442,2.7446,79.601,1148.295,0.4020,0.0035,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14425179,13177334,3.4528,112.980,1450.561,0.2832,0.0028,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14425179,13177334,3.4528,114.652,1547.465,0.2791,0.0026,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14425179,13177334,3.4528,112.581,1575.873,0.2842,0.0025,0.2800,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18453854,16069292,1.7837,78.581,872.993,0.4072,0.0046,0.4000,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18453854,16069292,1.7837,77.527,874.668,0.4128,0.0046,0.4000,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18453854,16069292,1.7837,79.396,859.159,0.4030,0.0047,0.4000,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
