corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,3294814,3239674,1328.1520,774.650,2911.730,0.0826,0.0220,0.0700,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,3294814,3239674,1328.1520,1084.957,2994.136,0.0590,0.0214,0.0800,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,3294814,3239674,1328.1520,1133.891,3016.655,0.0564,0.0212,0.0800,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,50528,3294814,3239674,1328.1520,1141.194,2948.754,0.0561,0.0217,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,50528,3294814,3239674,1328.1520,1119.111,2961.106,0.0572,0.0216,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2030799,2030799,571134,700377,124631,3.5557,57.141,406.592,0.0339,0.0048,0.0300,0.0000,c091296d87930cdef7e8662e163a4af56c0946a95d346b9ae0520c8bedd13426
src,full,1,2030799,2030799,571134,700377,124631,3.5557,56.897,406.090,0.0340,0.0048,0.0300,0.0000,c091296d87930cdef7e8662e163a4af56c0946a95d346b9ae0520c8bedd13426
src,full,2,2030799,2030799,571134,700377,124631,3.5557,57.976,412.189,0.0334,0.0047,0.0400,0.0000,c091296d87930cdef7e8662e163a4af56c0946a95d346b9ae0520c8bedd13426
urandom,full,0,33554432,33554432,33652515,37206421,3549294,0.9971,93.217,4103.366,0.3433,0.0078,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,37206421,3549294,0.9971,93.509,4030.339,0.3422,0.0079,0.3300,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,37206421,3549294,0.9971,93.485,4069.846,0.3423,0.0079,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,315758,315758,317603,326712,4497,0.9942,93.775,3886.806,0.0032,0.0001,0.0100,0.0000,ac4e335a3354559b29d137018bcce7d18e6c82f844933eea7af9ce3fb06aa98b
compressed-z19,full,1,315758,315758,317603,326712,4497,0.9942,96.911,4059.016,0.0031,0.0001,0.0000,0.0000,ac4e335a3354559b29d137018bcce7d18e6c82f844933eea7af9ce3fb06aa98b
compressed-z19,full,2,315758,315758,317603,326712,4497,0.9942,99.760,3961.667,0.0030,0.0001,0.0000,0.0000,ac4e335a3354559b29d137018bcce7d18e6c82f844933eea7af9ce3fb06aa98b
versioned,full,0,4194304,33554432,1392236,34438986,33042138,3.0126,78.579,541.040,0.4072,0.0074,0.4000,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,34438986,33042138,3.0126,79.441,538.988,0.4028,0.0074,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,34438986,33042138,3.0126,79.035,543.754,0.4049,0.0074,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14388060,13168694,3.4528,115.553,1550.786,0.2769,0.0026,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14388060,13168694,3.4528,116.908,1536.345,0.2737,0.0026,0.2700,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14388060,13168694,3.4528,115.958,1489.255,0.2760,0.0027,0.2700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,17893843,15543702,1.7882,79.128,892.003,0.4044,0.0045,0.4000,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,17893843,15543702,1.7882,79.850,892.175,0.4007,0.0045,0.3800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,17893843,15543702,1.7882,80.751,798.237,0.3963,0.0050,0.4000,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
