corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,841.356,2995.902,0.0761,0.0214,0.0500,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1276.903,2936.879,0.0501,0.0218,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1270.499,2932.362,0.0504,0.0218,0.0600,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,50528,56083,943,1328.1520,1242.201,2942.338,0.0515,0.0218,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,50528,56083,943,1328.1520,1288.608,3039.953,0.0497,0.0211,0.0600,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2141413,2141413,597831,603386,943,3.5820,58.736,398.456,0.0348,0.0051,0.0400,0.0000,2a2c2136b669504c07bb8a173acba8b6deb895c10d91146b89e928124b338412
src,full,1,2141413,2141413,597831,603386,943,3.5820,58.557,413.743,0.0349,0.0049,0.0400,0.0000,2a2c2136b669504c07bb8a173acba8b6deb895c10d91146b89e928124b338412
src,full,2,2141413,2141413,597831,603386,943,3.5820,57.761,400.876,0.0354,0.0051,0.0400,0.0000,2a2c2136b669504c07bb8a173acba8b6deb895c10d91146b89e928124b338412
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,92.925,3907.542,0.3444,0.0082,0.3400,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,92.916,4007.745,0.3444,0.0080,0.3400,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,92.855,3997.543,0.3446,0.0080,0.3300,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,324740,324740,326585,332140,943,0.9944,89.139,4098.083,0.0035,0.0001,0.0000,0.0000,c8929255c9e5078903fc7c71e3316400d7dc40c94ab0d160375e1a77a284c662
compressed-z19,full,1,324740,324740,326585,332140,943,0.9944,90.667,3955.403,0.0034,0.0001,0.0000,0.0000,c8929255c9e5078903fc7c71e3316400d7dc40c94ab0d160375e1a77a284c662
compressed-z19,full,2,324740,324740,326585,332140,943,0.9944,92.751,3909.417,0.0033,0.0001,0.0100,0.0000,c8929255c9e5078903fc7c71e3316400d7dc40c94ab0d160375e1a77a284c662
versioned,full,0,4194304,33554432,1392236,5542259,4145411,3.0126,82.143,546.640,0.3896,0.0073,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,5542259,4145411,3.0126,82.792,540.508,0.3865,0.0074,0.3700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,5542259,4145411,3.0126,82.029,539.993,0.3901,0.0074,0.3700,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,9237612,8018246,3.4528,118.097,1459.271,0.2710,0.0027,0.2600,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,9237612,8018246,3.4528,117.741,1261.852,0.2718,0.0032,0.2600,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,9237612,8018246,3.4528,118.773,1592.580,0.2694,0.0025,0.2600,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,9801712,7451571,1.7882,80.738,889.942,0.3963,0.0045,0.3800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,9801712,7451571,1.7882,80.317,841.460,0.3984,0.0048,0.3800,0.0000,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,9801712,7451571,1.7882,80.620,858.802,0.3969,0.0047,0.3900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
