corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,854.766,2949.026,0.0749,0.0217,0.0500,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1282.167,2981.332,0.0499,0.0215,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1285.767,2927.049,0.0498,0.0219,0.0600,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,3,67108864,67108864,50528,56083,943,1328.1520,1272.148,2941.130,0.0503,0.0218,0.0600,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,4,67108864,67108864,50528,56083,943,1328.1520,1282.434,2968.014,0.0499,0.0216,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2323661,2323661,570940,576495,943,4.0699,32.400,156.791,0.0684,0.0141,0.0800,0.0000,9d9bfff0c7e2894eb2cb64bc29693e1a7b557aa7771f44140cadff47903f8ad4
src,full,1,2323661,2323661,570940,576495,943,4.0699,32.427,153.543,0.0683,0.0144,0.0800,0.0000,9d9bfff0c7e2894eb2cb64bc29693e1a7b557aa7771f44140cadff47903f8ad4
src,full,2,2323661,2323661,570940,576495,943,4.0699,32.416,155.602,0.0684,0.0142,0.0800,0.0000,9d9bfff0c7e2894eb2cb64bc29693e1a7b557aa7771f44140cadff47903f8ad4
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,36.571,4128.022,0.8750,0.0078,0.8700,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,36.665,4018.950,0.8728,0.0080,0.8600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,36.508,4030.249,0.8765,0.0079,0.8600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,342380,342380,344409,349964,943,0.9941,40.137,3701.442,0.0081,0.0001,0.0100,0.0000,6a4105a1158cf1abcb9a9dad8fe28613a69f8823ccf7caee073021639b774266
compressed-z19,full,1,342380,342380,344409,349964,943,0.9941,40.787,4112.434,0.0080,0.0001,0.0100,0.0000,6a4105a1158cf1abcb9a9dad8fe28613a69f8823ccf7caee073021639b774266
compressed-z19,full,2,342380,342380,344409,349964,943,0.9941,41.321,3749.084,0.0079,0.0001,0.0000,0.0000,6a4105a1158cf1abcb9a9dad8fe28613a69f8823ccf7caee073021639b774266
versioned,full,0,4194304,33554432,1392236,5542259,4145411,3.0126,80.018,547.023,0.3999,0.0073,0.3900,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,5542259,4145411,3.0126,81.763,544.119,0.3914,0.0074,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,5542259,4145411,3.0126,81.713,541.076,0.3916,0.0074,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,9237612,8018246,3.4528,78.621,1558.271,0.4070,0.0026,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,9237612,8018246,3.4528,78.723,1590.723,0.4065,0.0025,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,9237612,8018246,3.4528,79.116,1542.772,0.4045,0.0026,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,9801712,7451571,1.7882,65.297,853.176,0.4901,0.0047,0.4700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,9801712,7451571,1.7882,66.826,855.714,0.4789,0.0047,0.4700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,9801712,7451571,1.7882,66.073,863.248,0.4843,0.0046,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
