corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,872.535,3022.435,0.0733,0.0212,0.0700,0.0300,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1268.593,2877.224,0.0504,0.0222,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1259.107,3031.144,0.0508,0.0211,0.0600,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2723272,2723272,642422,647977,943,4.2391,33.243,165.101,0.0781,0.0157,0.1000,0.0000,ef27ffa3da591e7549075f8ba7f99013e2eb6b87fdd39adcc06b7d86dac1f8c8
src,full,1,2723272,2723272,642422,647977,943,4.2391,34.064,166.842,0.0762,0.0156,0.0800,0.0000,ef27ffa3da591e7549075f8ba7f99013e2eb6b87fdd39adcc06b7d86dac1f8c8
src,full,2,2723272,2723272,642422,647977,943,4.2391,34.111,166.493,0.0761,0.0156,0.0900,0.0100,ef27ffa3da591e7549075f8ba7f99013e2eb6b87fdd39adcc06b7d86dac1f8c8
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,32.827,3861.914,0.9748,0.0083,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,32.515,3953.654,0.9842,0.0081,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,32.889,3702.074,0.9730,0.0086,0.9700,0.0000,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,371584,371584,373613,379168,943,0.9946,36.922,3924.017,0.0096,0.0001,0.0100,0.0000,eef4db05ca41458c0d430d7f2ae31a718adddd4b3124d60e9ae7eaec29fae7fe
compressed-z19,full,1,371584,371584,373613,379168,943,0.9946,37.219,4048.417,0.0095,0.0001,0.0100,0.0100,eef4db05ca41458c0d430d7f2ae31a718adddd4b3124d60e9ae7eaec29fae7fe
compressed-z19,full,2,371584,371584,373613,379168,943,0.9946,37.189,3926.191,0.0095,0.0001,0.0100,0.0000,eef4db05ca41458c0d430d7f2ae31a718adddd4b3124d60e9ae7eaec29fae7fe
versioned,full,0,4194304,33554432,1392236,5542259,4145411,3.0126,76.527,534.821,0.4182,0.0075,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,5542259,4145411,3.0126,79.001,530.912,0.4051,0.0075,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,5542259,4145411,3.0126,80.021,529.413,0.3999,0.0076,0.4000,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,9237612,8018246,3.4528,73.248,1538.606,0.4369,0.0026,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,9237612,8018246,3.4528,73.454,1580.817,0.4356,0.0025,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,9237612,8018246,3.4528,73.730,1517.281,0.4340,0.0026,0.4300,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,9801712,7451571,1.7882,62.800,870.503,0.5096,0.0046,0.4900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,9801712,7451571,1.7882,63.394,855.310,0.5048,0.0047,0.4900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,9801712,7451571,1.7882,62.481,872.557,0.5122,0.0046,0.4800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
