corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,850.029,2981.575,0.0753,0.0215,0.0600,0.0400,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1294.020,2940.110,0.0495,0.0218,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1278.474,3048.835,0.0501,0.0210,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2697750,2697750,646427,651982,943,4.1733,33.423,160.481,0.0770,0.0160,0.0900,0.0000,a06c9351620923ee35614c8472f11aa33d499ad7898ae283d9711f6eacec9f0f
src,full,1,2697750,2697750,646427,651982,943,4.1733,33.383,162.090,0.0771,0.0159,0.0900,0.0000,a06c9351620923ee35614c8472f11aa33d499ad7898ae283d9711f6eacec9f0f
src,full,2,2697750,2697750,646427,651982,943,4.1733,34.112,155.734,0.0754,0.0165,0.0900,0.0000,a06c9351620923ee35614c8472f11aa33d499ad7898ae283d9711f6eacec9f0f
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,32.572,4059.221,0.9824,0.0079,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,32.869,4026.477,0.9735,0.0079,0.9700,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,32.196,4134.791,0.9939,0.0077,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,376609,376609,378638,384193,943,0.9946,36.338,3733.147,0.0099,0.0001,0.0100,0.0000,7343a459d0141fa1640ed7fdd448e6c22f13f58d35a5aac1487e4f13f2e4972b
compressed-z19,full,1,376609,376609,378638,384193,943,0.9946,36.181,3985.467,0.0099,0.0001,0.0100,0.0000,7343a459d0141fa1640ed7fdd448e6c22f13f58d35a5aac1487e4f13f2e4972b
compressed-z19,full,2,376609,376609,378638,384193,943,0.9946,36.853,3900.462,0.0097,0.0001,0.0100,0.0000,7343a459d0141fa1640ed7fdd448e6c22f13f58d35a5aac1487e4f13f2e4972b
versioned,full,0,4194304,33554432,1392236,5542259,4145411,3.0126,81.831,521.839,0.3910,0.0077,0.3900,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,5542259,4145411,3.0126,82.592,536.888,0.3874,0.0075,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,5542259,4145411,3.0126,80.499,532.515,0.3975,0.0075,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,9237612,8018246,3.4528,73.367,1540.979,0.4362,0.0026,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,9237612,8018246,3.4528,74.127,1532.292,0.4317,0.0026,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,9237612,8018246,3.4528,74.473,1385.225,0.4297,0.0029,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,9801712,7451571,1.7882,61.995,848.289,0.5162,0.0047,0.5000,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,9801712,7451571,1.7882,62.808,869.113,0.5095,0.0046,0.5000,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,9801712,7451571,1.7882,63.622,868.831,0.5030,0.0046,0.4900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
