corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,863.477,2865.393,0.0741,0.0223,0.0600,0.0300,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1264.061,3017.426,0.0506,0.0212,0.0600,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1303.289,3013.936,0.0491,0.0212,0.0600,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2816381,2816381,665032,670587,943,4.2350,34.210,169.476,0.0785,0.0158,0.0900,0.0000,122b83c7e90718e3cfbf2ea4ac899c5169400d4a50e0de3372ab7fe0b8ce89be
src,full,1,2816381,2816381,665032,670587,943,4.2350,33.978,166.702,0.0790,0.0161,0.0900,0.0000,122b83c7e90718e3cfbf2ea4ac899c5169400d4a50e0de3372ab7fe0b8ce89be
src,full,2,2816381,2816381,665032,670587,943,4.2350,34.300,163.999,0.0783,0.0164,0.0900,0.0100,122b83c7e90718e3cfbf2ea4ac899c5169400d4a50e0de3372ab7fe0b8ce89be
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,32.730,3942.939,0.9777,0.0081,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,33.135,3977.754,0.9657,0.0080,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,32.011,3870.724,0.9997,0.0083,0.9800,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,384030,384030,386059,391614,943,0.9947,34.175,3824.996,0.0107,0.0001,0.0100,0.0000,cd0d4e95d57f7ca810b99a13a83e539b0e2812e09b6d956363633d29a9de0c3a
compressed-z19,full,1,384030,384030,386059,391614,943,0.9947,35.241,3702.943,0.0104,0.0001,0.0100,0.0000,cd0d4e95d57f7ca810b99a13a83e539b0e2812e09b6d956363633d29a9de0c3a
compressed-z19,full,2,384030,384030,386059,391614,943,0.9947,36.310,4009.585,0.0101,0.0001,0.0100,0.0000,cd0d4e95d57f7ca810b99a13a83e539b0e2812e09b6d956363633d29a9de0c3a
versioned,full,0,4194304,33554432,1392236,5542259,4145411,3.0126,80.163,538.529,0.3992,0.0074,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1392236,5542259,4145411,3.0126,81.381,537.267,0.3932,0.0074,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1392236,5542259,4145411,3.0126,81.196,545.878,0.3941,0.0073,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,9237612,8018246,3.4528,76.237,1587.785,0.4197,0.0025,0.4100,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,9237612,8018246,3.4528,75.094,1573.784,0.4261,0.0025,0.4200,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,9237612,8018246,3.4528,74.437,1486.439,0.4299,0.0027,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2345529,9801712,7451571,1.7882,64.887,826.144,0.4932,0.0048,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2345529,9801712,7451571,1.7882,63.740,850.998,0.5020,0.0047,0.4900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2345529,9801712,7451571,1.7882,64.925,822.213,0.4929,0.0049,0.4800,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
