corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,818.576,2969.540,0.0782,0.0216,0.0600,0.0300,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1149.497,3041.320,0.0557,0.0210,0.0800,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1277.008,2964.704,0.0501,0.0216,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,2940187,2940187,679534,685089,943,4.3268,34.650,184.788,0.0809,0.0152,0.1000,0.0000,7cf9802e2a3f5d5181b9401b9fe373b6060441319b3b141bd00fd11a03dcc84e
src,full,1,2940187,2940187,679534,685089,943,4.3268,33.984,178.221,0.0825,0.0157,0.0900,0.0000,7cf9802e2a3f5d5181b9401b9fe373b6060441319b3b141bd00fd11a03dcc84e
src,full,2,2940187,2940187,679534,685089,943,4.3268,34.619,175.227,0.0810,0.0160,0.1000,0.0000,7cf9802e2a3f5d5181b9401b9fe373b6060441319b3b141bd00fd11a03dcc84e
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,33.173,3828.842,0.9646,0.0084,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,32.912,4027.478,0.9723,0.0079,0.9600,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,32.964,3877.118,0.9708,0.0083,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,392758,392758,394787,400342,943,0.9949,35.849,4230.680,0.0104,0.0001,0.0100,0.0000,07a7b6c97350b1ecbf26269b4644c027d935e551083d62d3bff94238af260762
compressed-z19,full,1,392758,392758,394787,400342,943,0.9949,36.513,3487.878,0.0103,0.0001,0.0100,0.0000,07a7b6c97350b1ecbf26269b4644c027d935e551083d62d3bff94238af260762
compressed-z19,full,2,392758,392758,394787,400342,943,0.9949,36.992,4191.339,0.0101,0.0001,0.0100,0.0000,07a7b6c97350b1ecbf26269b4644c027d935e551083d62d3bff94238af260762
versioned,full,0,4194304,33554432,1359786,5460208,4095810,3.0845,81.584,564.377,0.3922,0.0071,0.3900,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1359786,5460208,4095810,3.0845,79.942,568.633,0.4003,0.0070,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1359786,5460208,4095810,3.0845,80.417,549.404,0.3979,0.0073,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1180500,9050896,7865784,3.5530,74.814,1755.485,0.4277,0.0023,0.4100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1180500,9050896,7865784,3.5530,75.285,1746.546,0.4251,0.0023,0.4100,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1180500,9050896,7865784,3.5530,75.299,1775.313,0.4250,0.0023,0.4100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2346969,9910132,7558551,1.7871,64.245,859.399,0.4981,0.0047,0.4700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2346969,9910132,7558551,1.7871,65.257,746.031,0.4904,0.0054,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2346969,9910132,7558551,1.7871,65.679,759.151,0.4872,0.0053,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
