corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,859.942,2976.698,0.0744,0.0215,0.0600,0.0300,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1263.021,2998.999,0.0507,0.0213,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1286.069,3014.150,0.0498,0.0212,0.0600,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,3079911,3079911,705488,711043,943,4.3656,35.303,189.018,0.0832,0.0155,0.1000,0.0000,f3f5389cbec9b9e9224cf22b3db9c3a8246c27bfa4cec13f2d9540a32d352dd7
src,full,1,3079911,3079911,705488,711043,943,4.3656,35.581,190.800,0.0826,0.0154,0.0900,0.0100,f3f5389cbec9b9e9224cf22b3db9c3a8246c27bfa4cec13f2d9540a32d352dd7
src,full,2,3079911,3079911,705488,711043,943,4.3656,35.681,185.417,0.0823,0.0158,0.0900,0.0000,f3f5389cbec9b9e9224cf22b3db9c3a8246c27bfa4cec13f2d9540a32d352dd7
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,32.959,4008.617,0.9709,0.0080,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,33.038,3868.780,0.9686,0.0083,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,33.130,3974.419,0.9659,0.0081,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,403772,403772,405985,411540,943,0.9945,36.843,4042.783,0.0105,0.0001,0.0100,0.0000,6b9405da8eb36f4bd74a4c32a4a30098882d2442234e1c44c5e67df39143a6ee
compressed-z19,full,1,403772,403772,405985,411540,943,0.9945,36.714,4233.366,0.0105,0.0001,0.0200,0.0000,6b9405da8eb36f4bd74a4c32a4a30098882d2442234e1c44c5e67df39143a6ee
compressed-z19,full,2,403772,403772,405985,411540,943,0.9945,36.514,4030.047,0.0105,0.0001,0.0100,0.0000,6b9405da8eb36f4bd74a4c32a4a30098882d2442234e1c44c5e67df39143a6ee
versioned,full,0,4194304,33554432,1359786,5460208,4095810,3.0845,82.772,554.695,0.3866,0.0072,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1359786,5460208,4095810,3.0845,82.952,568.686,0.3858,0.0070,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1359786,5460208,4095810,3.0845,82.909,567.335,0.3860,0.0071,0.3800,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1180500,9050896,7865784,3.5530,76.082,1818.352,0.4206,0.0022,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1180500,9050896,7865784,3.5530,76.520,1822.578,0.4182,0.0022,0.4100,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1180500,9050896,7865784,3.5530,76.290,1817.111,0.4195,0.0022,0.4100,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2346969,9910132,7558551,1.7871,67.020,859.198,0.4775,0.0047,0.4700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2346969,9910132,7558551,1.7871,66.857,815.986,0.4786,0.0049,0.4700,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2346969,9910132,7558551,1.7871,66.959,809.456,0.4779,0.0049,0.4700,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
