corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,67108864,67108864,50528,56083,943,1328.1520,828.668,2998.935,0.0772,0.0213,0.0600,0.0300,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,1,67108864,67108864,50528,56083,943,1328.1520,1279.658,3025.963,0.0500,0.0212,0.0700,0.0100,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
structured,full,2,67108864,67108864,50528,56083,943,1328.1520,1280.661,2984.174,0.0500,0.0214,0.0700,0.0000,1ef906e8054d94123fd0ed5e775743b22b5f4083fe86228a2e977ba51ba2b268
src,full,0,3217274,3217274,730161,735716,943,4.4063,35.028,181.569,0.0876,0.0169,0.1000,0.0000,f88a4673a086990cc279e79430680b569025cdf4887605dbb2a216b155205c1e
src,full,1,3217274,3217274,730161,735716,943,4.4063,34.949,178.796,0.0878,0.0172,0.1100,0.0000,f88a4673a086990cc279e79430680b569025cdf4887605dbb2a216b155205c1e
src,full,2,3217274,3217274,730161,735716,943,4.4063,35.052,187.767,0.0875,0.0163,0.1000,0.0100,f88a4673a086990cc279e79430680b569025cdf4887605dbb2a216b155205c1e
urandom,full,0,33554432,33554432,33652515,33658070,943,0.9971,32.347,3568.806,0.9893,0.0090,0.9600,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,1,33554432,33554432,33652515,33658070,943,0.9971,32.157,4028.195,0.9951,0.0079,0.9700,0.0200,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
urandom,full,2,33554432,33554432,33652515,33658070,943,0.9971,32.367,4109.804,0.9887,0.0078,0.9700,0.0100,d914eb810a1d6d56dfca06a43276f047f67d43fe6407ce577108c95c8f64a4f8
compressed-z19,full,0,414638,414638,416851,422406,943,0.9947,37.445,4181.962,0.0106,0.0001,0.0100,0.0000,a80a87fd99f6dab65839051551da9081cb179ede3dff30b76bf366c4859340ad
compressed-z19,full,1,414638,414638,416851,422406,943,0.9947,35.224,4212.299,0.0112,0.0001,0.0100,0.0000,a80a87fd99f6dab65839051551da9081cb179ede3dff30b76bf366c4859340ad
compressed-z19,full,2,414638,414638,416851,422406,943,0.9947,36.584,4139.887,0.0108,0.0001,0.0100,0.0000,a80a87fd99f6dab65839051551da9081cb179ede3dff30b76bf366c4859340ad
versioned,full,0,4194304,33554432,1359786,5460208,4095810,3.0845,78.610,562.708,0.4071,0.0071,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1359786,5460208,4095810,3.0845,81.691,572.342,0.3917,0.0070,0.3800,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1359786,5460208,4095810,3.0845,81.753,567.896,0.3914,0.0070,0.3900,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1180500,9050896,7865784,3.5530,74.138,1752.945,0.4316,0.0023,0.4200,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1180500,9050896,7865784,3.5530,73.375,1662.646,0.4361,0.0024,0.4200,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1180500,9050896,7865784,3.5530,74.251,1731.582,0.4310,0.0023,0.4100,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2346969,9910132,7558551,1.7871,66.368,834.628,0.4822,0.0048,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2346969,9910132,7558551,1.7871,66.166,851.973,0.4836,0.0047,0.4900,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2346969,9910132,7558551,1.7871,64.400,844.924,0.4969,0.0047,0.4800,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
