threads	workload	wall_s	mbps_or_ops	daemon_cpu_s	fuse_max_concurrency
1	parallel_write	0.032	375.8	0.030	1
1	parallel_read	0.033	359.1	0.010	1
1	parallel_ns	0.021	200/s	0.000	1
1	make_j	12.474	-	16.600	1
2	parallel_write	0.027	449.7	0.040	2
2	parallel_read	0.018	651.2	0.020	2
2	parallel_ns	0.024	400/s	0.010	2
2	make_j	12.012	-	16.540	2
4	parallel_write	0.022	543.1	0.030	4
4	parallel_read	0.012	979.6	0.010	4
4	parallel_ns	0.036	800/s	0.050	4
4	make_j	11.761	-	16.800	4
8	parallel_write	0.025	474.2	0.050	8
8	parallel_read	0.012	1010.4	0.010	8
8	parallel_ns	0.061	1600/s	0.080	8
8	make_j	11.396	-	16.420	8
16	parallel_write	0.022	558.1	0.040	16
16	parallel_read	0.012	975.8	0.010	16
16	parallel_ns	0.112	3200/s	0.160	16
16	make_j	11.764	-	16.900	16
