mode	family	cache	depth	n	p50_us	p95_us	p99_us	mean_us	dag_nodes	referenced_objects	bytes_fetched	io_wait_us	decode_us	sample_latency_us
12a0	raw	cold	0	8	9.8	10.8	10.8	10.2	1	1	65536	6.1	2.4	8.9
12a0	raw	warm	0	8	6.1	6.3	6.3	6.2	1	1	65536	2.1	2.5	4.9
12a0	raw	hot	0	8	5.6	5.9	5.9	5.6	1	1	65536	1.8	2.3	4.4
12a0	exactref	cold	0	1	20.2	20.2	20.2	20.2	1	2	28447	1.0	17.6	18.9
12a0	exactref	cold	1	8	20.9	22.9	22.9	22.3	2	2	28447	1.3	18.8	20.9
12a0	exactref	warm	0	1	19.9	19.9	19.9	19.9	1	2	28447	0.9	17.4	18.8
12a0	exactref	warm	1	8	20.6	20.7	20.7	20.6	2	2	28447	0.9	17.9	19.4
12a0	exactref	hot	0	1	20.0	20.0	20.0	20.0	1	2	28447	0.9	17.5	18.8
12a0	exactref	hot	1	8	20.7	21.1	21.1	20.8	2	2	28447	0.9	18.1	19.6
12a0	base-inline	cold	1	32	28.1	30.4	30.5	28.1	2	3	28459	2.5	19.1	25.1
12a0	base-inline	cold	2	24	30.8	32.4	34.7	31.1	3	4	28460	1.8	19.7	28.0
12a0	base-inline	cold	3	16	34.9	40.7	40.7	36.9	4	5	28458	2.1	21.7	33.3
12a0	base-inline	cold	4	8	39.4	41.5	41.5	40.0	5	6	28450	1.8	22.1	36.4
12a0	base-inline	warm	1	32	26.0	26.7	27.1	26.1	2	3	28459	1.4	18.6	23.3
12a0	base-inline	warm	2	24	29.8	30.5	30.9	29.8	3	4	28460	1.2	19.4	26.9
12a0	base-inline	warm	3	16	33.9	34.4	34.4	33.8	4	5	28458	1.3	20.3	30.7
12a0	base-inline	warm	4	8	38.1	38.5	38.5	38.2	5	6	28450	1.3	21.4	34.8
12a0	base-inline	hot	1	32	25.7	26.4	26.4	25.8	2	3	28459	1.2	18.5	23.0
12a0	base-inline	hot	2	24	29.5	30.4	30.6	29.7	3	4	28460	1.2	19.3	26.8
12a0	base-inline	hot	3	16	33.8	34.3	34.3	33.7	4	5	28458	1.2	20.3	30.5
12a0	base-inline	hot	4	8	37.9	38.9	38.9	38.2	5	6	28450	1.3	21.5	34.9
12a0	base-object	cold	1	32	126.3	129.3	132.3	126.6	2	5	28612	3.2	116.0	123.0
12a0	base-object	cold	2	24	225.6	228.6	228.8	225.9	3	8	28764	2.9	212.9	222.3
12a0	base-object	cold	3	16	328.2	332.9	332.9	329.6	4	11	28911	3.9	311.1	325.5
12a0	base-object	cold	4	8	429.1	432.8	432.8	429.8	5	14	29053	4.2	408.3	425.6
12a0	base-object	warm	1	32	124.2	126.3	126.7	124.4	2	5	28612	1.8	115.7	121.2
12a0	base-object	warm	2	24	224.9	227.2	228.7	225.2	3	8	28764	2.0	213.1	221.9
12a0	base-object	warm	3	16	326.3	329.1	329.1	326.3	4	11	28911	2.3	310.7	322.6
12a0	base-object	warm	4	8	426.5	428.3	428.3	427.1	5	14	29053	2.7	407.9	423.3
12a0	base-object	hot	1	32	124.6	127.1	127.3	124.7	2	5	28612	1.9	115.8	121.5
12a0	base-object	hot	2	24	225.2	227.6	228.6	225.7	3	8	28764	2.0	213.6	222.4
12a0	base-object	hot	3	16	327.4	331.7	331.7	328.3	4	11	28911	2.5	312.2	324.6
12a0	base-object	hot	4	8	428.9	430.4	430.4	429.2	5	14	29053	2.9	409.8	425.5
12a0	diamond	cold	0	8	22.5	26.2	26.2	24.7	1	2	28456	2.3	18.0	20.8
12a0	diamond	cold	1	24	24.9	28.9	29.8	25.8	2	3	28456	1.5	18.5	22.3
12a0	diamond	cold	2	8	28.0	29.4	29.4	28.8	3	4	28456	1.5	19.5	25.2
12a0	diamond	warm	0	8	21.7	21.8	21.8	21.7	1	2	28456	1.0	17.5	18.9
12a0	diamond	warm	1	24	24.3	24.5	24.6	24.3	2	3	28456	1.1	18.2	21.5
12a0	diamond	warm	2	8	27.3	27.5	27.5	27.3	3	4	28456	1.1	19.2	24.5
12a0	diamond	hot	0	8	21.5	21.6	21.6	21.6	1	2	28456	1.0	17.4	18.8
12a0	diamond	hot	1	24	24.2	24.8	25.0	24.4	2	3	28456	1.0	18.3	21.6
12a0	diamond	hot	2	8	27.2	27.4	27.4	27.4	3	4	28456	1.1	19.3	24.5
12a0	seqdict	cold	0	12	11.6	13.2	13.2	10.9	1	1	65536	5.9	2.3	8.6
12a0	seqdict	cold	1	12	13.9	18.6	18.6	14.8	2	3	67102	4.0	6.9	13.1
12a0	seqdict	warm	0	12	5.6	6.2	6.2	5.7	1	1	65536	1.8	2.2	4.3
12a0	seqdict	warm	1	12	11.4	12.2	12.2	11.8	2	3	67102	2.1	6.3	10.3
12a0	seqdict	hot	0	12	5.5	5.6	5.6	5.6	1	1	65536	1.7	2.1	4.2
12a0	seqdict	hot	1	12	11.4	12.2	12.2	11.8	2	3	67102	2.1	6.3	10.3
