policy	fuse_threads	workload	wall_s	throughput	unit	daemon_cpu_s	op_p50_us	op_p95_us	op_p99_us	settled_physical
full	8	parallel_write	0.018	652.4	MB/s	0.170	-	-	-	652269031
full	8	tree_copy	0.140	-	-	0.230	-	-	-	652269031
full	8	untar	0.138	-	-	0.220	-	-	-	652269031
full	8	make_j	0.055	-	-	0.040	-	-	-	652269031
full	8	mixed_rw	0.219	-	-	2.730	-	-	-	652269031
full	8	bursty_writers	1.902	-	us	24.840	22517.8	30191.4	33332.2	652269031
full	8	continuous_saturation	12.086	-	us	105.500	113968.1	311713.4	364451.2	652269031
full	8	structured_burst	12.458	-	us	105.670	1685.5	12276.3	13172.0	652269031
focused	8	parallel_write	0.007	1805.1	MB/s	0.030	-	-	-	686022203
focused	8	tree_copy	0.107	-	-	0.180	-	-	-	686022203
focused	8	untar	0.141	-	-	0.220	-	-	-	686022203
focused	8	make_j	0.053	-	-	0.030	-	-	-	686022203
focused	8	mixed_rw	0.050	-	-	0.140	-	-	-	686022203
focused	8	bursty_writers	0.439	-	us	1.180	2089.3	2720.0	4601.5	686022203
focused	8	continuous_saturation	10.662	-	us	59.490	106746.9	324628.0	373350.7	686022203
focused	8	structured_burst	11.037	-	us	59.670	1394.3	20842.8	21182.4	686022203
pressure	8	parallel_write	0.007	1748.1	MB/s	0.030	-	-	-	689070737
pressure	8	tree_copy	0.138	-	-	0.210	-	-	-	689070737
pressure	8	untar	0.160	-	-	0.250	-	-	-	689070737
pressure	8	make_j	0.053	-	-	0.040	-	-	-	689070737
pressure	8	mixed_rw	0.049	-	-	0.130	-	-	-	689070737
pressure	8	bursty_writers	0.430	-	us	1.170	1996.2	2585.2	4179.1	689070737
pressure	8	continuous_saturation	10.614	-	us	60.020	104774.2	315515.0	364318.1	689070737
pressure	8	structured_burst	10.989	-	us	60.210	1381.7	21375.9	21754.5	689070737
