policy	fuse_threads	pool	family	readback	fsck
full	1	16	build_artifacts	OK	OK
full	4	16	build_artifacts	OK	OK
full	8	16	build_artifacts	OK	OK
full	16	16	build_artifacts	OK	OK
full	32	16	build_artifacts	OK	OK
focused	1	16	build_artifacts	OK	OK
focused	4	16	build_artifacts	OK	OK
focused	8	16	build_artifacts	OK	OK
focused	16	16	build_artifacts	OK	OK
focused	32	16	build_artifacts	OK	OK
pressure	1	16	build_artifacts	OK	OK
pressure	4	16	build_artifacts	OK	OK
pressure	8	16	build_artifacts	OK	OK
pressure	16	16	build_artifacts	OK	OK
pressure	32	16	build_artifacts	OK	OK
full	16	8	build_artifacts	OK	OK
focused	16	8	build_artifacts	OK	OK
pressure	16	8	build_artifacts	OK	OK
full	16	16	ci_cache	OK	OK
focused	16	16	ci_cache	OK	OK
pressure	16	16	ci_cache	OK	OK
full	16	16	container_layers	OK	OK
focused	16	16	container_layers	OK	OK
pressure	16	16	container_layers	OK	OK
full	16	16	generated_assets	OK	OK
focused	16	16	generated_assets	OK	OK
pressure	16	16	generated_assets	OK	OK
full	16	16	scientific_outputs	OK	OK
focused	16	16	scientific_outputs	OK	OK
pressure	16	16	scientific_outputs	OK	OK
