policy	fuse_threads	pool	family	wall_s	daemon_cpu_s	p50_us	p95_us	p99_us	pressured	samples	enter	leave	pressured_ms	rans_skips	deferred_extents	deferred_bytes	peak_deferred	oldest_age_ms	cap_engagements	settled_physical	logical_bytes	settle_wall_s
full	1	16	build_artifacts	2.018	6.560	5608.5	6319.1	7155.4	no	0	0	0	0	0	0	0	0	0	0	28464471	361758720	150.4
full	4	16	build_artifacts	2.021	17.290	9310.5	11423.4	12644.2	no	0	0	0	0	0	0	0	0	0	0	69053334	877658112	150.7
full	8	16	build_artifacts	2.036	24.400	14118.0	19908.4	28251.8	no	0	0	0	0	0	0	0	0	0	0	89763092	1140850688	150.8
full	16	16	build_artifacts	2.038	25.670	28108.0	40370.4	61597.1	no	0	0	0	0	0	0	0	0	0	0	91334081	1160773632	151.1
full	32	16	build_artifacts	2.099	15.680	84023.3	181429.8	269549.1	no	0	0	0	0	0	0	0	0	0	0	55284485	702545920	150.6
focused	1	16	build_artifacts	2.015	6.670	5592.7	6053.3	6297.0	no	6650	0	0	0	0	0	0	0	0	0	28876883	367001600	150.4
focused	4	16	build_artifacts	2.018	19.140	8348.9	9884.5	10691.5	no	17879	0	0	0	0	0	0	0	0	0	77631574	986710016	150.8
focused	8	16	build_artifacts	2.039	25.870	13448.7	19849.3	32815.5	no	21223	0	0	0	0	0	0	0	0	0	92155821	1171259392	150.8
focused	16	16	build_artifacts	2.059	28.020	26262.8	42361.0	60501.7	no	21983	0	0	0	0	0	0	0	0	0	95460815	1213202432	150.8
focused	32	16	build_artifacts	2.079	26.110	51785.8	100759.8	132275.5	no	21109	0	0	0	0	0	0	0	0	0	91960328	1164967936	151.0
pressure	1	16	build_artifacts	2.014	6.690	5551.9	5926.2	6207.7	no	6688	0	0	0	0	0	0	0	0	0	29041796	369098752	150.6
pressure	4	16	build_artifacts	2.019	20.000	7907.1	9391.3	10077.6	no	0	0	0	0	0	0	0	0	0	0	81838722	0	240.7
pressure	8	16	build_artifacts	2.037	25.910	13340.8	19305.8	31863.3	no	0	0	0	0	0	0	0	0	0	0	94055035	0	240.8
pressure	16	16	build_artifacts	2.488	26.390	24135.5	40751.3	558949.9	no	23281	152	152	267	5240	5240	343408640	343408640	4483	0	99834999	1268776960	150.9
pressure	32	16	build_artifacts	2.128	27.380	33697.0	119470.2	226217.3	no	26940	196	196	1452	16384	16384	1073741824	1073741824	5155	6106	113449445	1441792000	151.1
full	16	8	build_artifacts	2.053	22.400	26177.6	54395.0	70753.0	no	0	0	0	0	0	0	0	0	0	0	89021686	1131413504	150.7
focused	16	8	build_artifacts	2.055	22.300	26090.8	53009.7	67023.9	no	20539	0	0	0	0	0	0	0	0	0	89189028	1133510656	150.7
pressure	16	8	build_artifacts	2.103	22.130	13793.2	74679.2	159246.8	no	25077	234	234	1630	16384	16384	1073741824	1073741824	5900	7353	105362923	1339031552	151.0
full	16	16	ci_cache	2.061	28.630	25613.4	43028.6	70536.7	no	0	0	0	0	0	0	0	0	0	0	96586959	1228931072	150.8
focused	16	16	ci_cache	2.061	28.240	26078.5	42609.4	72524.8	no	22097	0	0	0	0	0	0	0	0	0	95845863	1219493888	150.8
pressure	16	16	ci_cache	2.057	27.650	24414.6	40761.0	70116.1	no	23504	143	143	237	4398	4398	288227328	288227328	4217	0	100955791	1284505600	150.9
full	16	16	container_layers	2.063	28.740	25397.9	42396.1	69430.7	no	0	0	0	0	0	0	0	0	0	0	96800990	1231028224	150.8
focused	16	16	container_layers	2.064	28.140	26458.1	42732.0	65429.6	no	22097	0	0	0	0	0	0	0	0	0	95894612	1219493888	150.8
pressure	16	16	container_layers	2.055	27.750	23970.9	42179.1	77160.5	no	23656	155	155	259	4682	4682	306839552	306839552	4278	0	101584905	1291845632	151.3
full	16	16	generated_assets	2.059	28.390	25583.5	41170.4	70629.2	no	0	0	0	0	0	0	0	0	0	0	97082704	0	240.8
focused	16	16	generated_assets	2.062	28.200	25618.6	43467.3	64304.4	no	0	0	0	0	0	0	0	0	0	0	95930701	0	240.8
pressure	16	16	generated_assets	2.727	26.750	24166.2	45895.0	764668.7	no	23465	151	151	269	5190	5190	340131840	340131840	4910	0	100376230	1279262720	150.9
full	16	16	scientific_outputs	2.063	28.150	25689.1	44331.1	68446.7	no	0	0	0	0	0	0	0	0	0	0	96150418	1224736768	150.8
focused	16	16	scientific_outputs	2.062	28.280	25881.3	41083.9	73008.9	no	22173	0	0	0	0	0	0	0	0	0	96068607	1223688192	151.7
pressure	16	16	scientific_outputs	2.636	27.560	24099.2	42686.4	121193.5	no	23580	138	138	253	4592	4592	300941312	300941312	4815	0	101092276	1287651328	150.9
