threads	phase	total_ms	share
1	prepare	135.30	0.821
1	barrier_fdatasync	7.97	0.048
1	read_decode	6.51	0.040
1	append	5.05	0.031
1	flush	2.25	0.014
1	stage	2.24	0.014
1	read_prefetch	1.62	0.010
1	barrier_sb_fsync	1.27	0.008
1	read_scan	0.36	0.002
1	read_deps	0.07	0.000
1	barrier_sb_write	0.01	0.000
1	barrier_dir_sync	0.01	0.000
1	epoch_lock_wait	0.00	0.000
1	inode_lock_wait	0.00	0.000
1	commit_lock_wait	0.00	0.000
1	epoch_wait	0.00	0.000
1	barrier_commit_lock_wait	0.00	0.000
1	unaccounted	2.20	0.013
2	prepare	287.31	0.839
2	read_decode	13.26	0.039
2	append	10.18	0.030
2	barrier_fdatasync	6.71	0.020
2	flush	4.53	0.013
2	stage	4.47	0.013
2	read_prefetch	2.98	0.009
2	barrier_sb_fsync	1.09	0.003
2	read_scan	0.76	0.002
2	read_deps	0.14	0.000
2	epoch_lock_wait	0.08	0.000
2	epoch_wait	0.04	0.000
2	inode_lock_wait	0.01	0.000
2	barrier_sb_write	0.01	0.000
2	barrier_dir_sync	0.00	0.000
2	commit_lock_wait	0.00	0.000
2	barrier_commit_lock_wait	0.00	0.000
2	unaccounted	11.00	0.032
4	prepare	764.27	0.853
4	read_decode	28.75	0.032
4	append	24.33	0.027
4	barrier_fdatasync	15.78	0.018
4	flush	10.76	0.012
4	stage	9.50	0.011
4	commit_lock_wait	6.66	0.007
4	read_prefetch	6.54	0.007
4	epoch_lock_wait	1.98	0.002
4	read_scan	1.67	0.002
4	epoch_wait	1.37	0.002
4	barrier_sb_fsync	1.10	0.001
4	read_deps	0.30	0.000
4	inode_lock_wait	0.02	0.000
4	barrier_sb_write	0.01	0.000
4	barrier_dir_sync	0.01	0.000
4	barrier_commit_lock_wait	0.00	0.000
4	unaccounted	22.97	0.026
8	prepare	2476.93	0.797
8	commit_lock_wait	304.40	0.098
8	append	72.50	0.023
8	read_decode	68.07	0.022
8	epoch_lock_wait	29.13	0.009
8	flush	25.43	0.008
8	epoch_wait	21.29	0.007
8	stage	20.90	0.007
8	read_prefetch	13.71	0.004
8	read_scan	4.37	0.001
8	barrier_fdatasync	3.91	0.001
8	barrier_sb_fsync	1.47	0.000
8	read_deps	0.68	0.000
8	inode_lock_wait	0.04	0.000
8	barrier_sb_write	0.01	0.000
8	barrier_dir_sync	0.01	0.000
8	barrier_commit_lock_wait	0.00	0.000
8	unaccounted	64.06	0.021
16	prepare	6267.58	0.549
16	commit_lock_wait	3954.09	0.347
16	epoch_lock_wait	339.92	0.030
16	read_decode	179.34	0.016
16	append	161.57	0.014
16	epoch_wait	148.82	0.013
16	stage	57.02	0.005
16	flush	46.07	0.004
16	read_prefetch	31.87	0.003
16	read_scan	8.12	0.001
16	barrier_fdatasync	6.64	0.001
16	read_deps	1.39	0.000
16	barrier_sb_fsync	1.13	0.000
16	inode_lock_wait	0.09	0.000
16	barrier_sb_write	0.01	0.000
16	barrier_dir_sync	0.01	0.000
16	barrier_commit_lock_wait	0.00	0.000
16	unaccounted	207.04	0.018
