threads	phase	total_ms	share
1	prepare	136.03	0.832
1	barrier_fdatasync	6.72	0.041
1	read_decode	5.13	0.031
1	append	5.11	0.031
1	flush	2.59	0.016
1	stage	2.27	0.014
1	read_prefetch	1.75	0.011
1	barrier_sb_fsync	1.13	0.007
1	read_scan	0.37	0.002
1	read_deps	0.06	0.000
1	barrier_sb_write	0.01	0.000
1	epoch_lock_wait	0.00	0.000
1	barrier_dir_sync	0.00	0.000
1	inode_lock_wait	0.00	0.000
1	commit_lock_wait	0.00	0.000
1	epoch_wait	0.00	0.000
1	barrier_commit_lock_wait	0.00	0.000
1	unaccounted	2.25	0.014
2	prepare	337.62	0.849
2	read_decode	11.31	0.028
2	append	10.99	0.028
2	barrier_fdatasync	8.48	0.021
2	flush	5.57	0.014
2	stage	4.44	0.011
2	read_prefetch	3.59	0.009
2	barrier_sb_fsync	1.17	0.003
2	read_scan	0.81	0.002
2	commit_lock_wait	0.54	0.001
2	read_deps	0.15	0.000
2	epoch_lock_wait	0.14	0.000
2	barrier_sb_write	0.01	0.000
2	inode_lock_wait	0.01	0.000
2	barrier_dir_sync	0.01	0.000
2	epoch_wait	0.00	0.000
2	barrier_commit_lock_wait	0.00	0.000
2	unaccounted	12.70	0.032
4	prepare	800.15	0.863
4	append	23.37	0.025
4	read_decode	21.16	0.023
4	barrier_fdatasync	19.55	0.021
4	flush	11.36	0.012
4	stage	9.41	0.010
4	read_prefetch	6.31	0.007
4	commit_lock_wait	6.23	0.007
4	read_scan	1.81	0.002
4	barrier_sb_fsync	1.12	0.001
4	epoch_lock_wait	0.77	0.001
4	read_deps	0.31	0.000
4	inode_lock_wait	0.02	0.000
4	barrier_sb_write	0.01	0.000
4	barrier_dir_sync	0.01	0.000
4	epoch_wait	0.01	0.000
4	barrier_commit_lock_wait	0.00	0.000
4	unaccounted	25.35	0.027
8	prepare	3154.75	0.864
8	commit_lock_wait	232.14	0.064
8	append	72.41	0.020
8	read_decode	43.71	0.012
8	flush	26.77	0.007
8	stage	22.64	0.006
8	read_prefetch	15.14	0.004
8	epoch_lock_wait	8.22	0.002
8	barrier_fdatasync	4.16	0.001
8	read_scan	3.80	0.001
8	barrier_sb_fsync	1.14	0.000
8	read_deps	0.64	0.000
8	inode_lock_wait	0.04	0.000
8	epoch_wait	0.01	0.000
8	barrier_sb_write	0.01	0.000
8	barrier_dir_sync	0.00	0.000
8	barrier_commit_lock_wait	0.00	0.000
8	unaccounted	64.32	0.018
16	prepare	11597.84	0.791
16	commit_lock_wait	2406.13	0.164
16	append	164.05	0.011
16	read_decode	100.85	0.007
16	stage	53.65	0.004
16	flush	50.28	0.003
16	epoch_lock_wait	48.58	0.003
16	read_prefetch	35.11	0.002
16	read_scan	10.17	0.001
16	barrier_fdatasync	7.45	0.001
16	read_deps	1.54	0.000
16	barrier_sb_fsync	1.13	0.000
16	inode_lock_wait	0.10	0.000
16	epoch_wait	0.03	0.000
16	barrier_sb_write	0.01	0.000
16	barrier_dir_sync	0.01	0.000
16	barrier_commit_lock_wait	0.00	0.000
16	unaccounted	184.48	0.013
