scheduler	fuse_threads	workload	wall_s	throughput	unit	daemon_cpu_s	op_p50_us	op_p95_us	op_p99_us	fuse_max_concurrency
semaphore	1	serial_cp	0.055	217.3	MB/s	0.120	-	-	-	1
semaphore	1	serial_dd	0.093	1381.9	MB/s	0.250	-	-	-	1
semaphore	1	parallel_write	0.058	205.8	MB/s	0.120	-	-	-	1
semaphore	1	parallel_read	0.038	314.7	MB/s	0.020	-	-	-	1
semaphore	1	latency_write	0.190	-	us	1.310	4797.8	5271.0	5533.5	1
semaphore	1	latency_read	0.013	-	us	0.000	9.5	11.7	69.9	1
semaphore	1	ns_ops	0.014	-	cyc/s	0.010	97.7	125.6	131.0	1
semaphore	1	tree_copy	0.016	-	trees	0.000	-	-	-	1
semaphore	1	untar	0.033	-	tars	0.030	-	-	-	1
semaphore	1	make_j	0.110	-	-	0.030	-	-	-	1
semaphore	1	cargo_build	6.276	-	-	9.070	-	-	-	1
semaphore	1	mixed_rw	0.069	-	-	0.140	-	-	-	1
semaphore	1	fsync_heavy	0.317	-	us	0.040	3847.9	4006.7	4521.4	1
semaphore	4	serial_cp	0.055	217.4	MB/s	0.120	-	-	-	4
semaphore	4	serial_dd	0.088	1459.5	MB/s	0.230	-	-	-	4
semaphore	4	parallel_write	0.021	573.9	MB/s	0.160	-	-	-	4
semaphore	4	parallel_read	0.010	1159.0	MB/s	0.020	-	-	-	4
semaphore	4	latency_write	0.568	-	us	5.300	12307.2	30009.4	38678.1	4
semaphore	4	latency_read	0.012	-	us	0.010	13.3	80.6	629.8	4
semaphore	4	ns_ops	0.023	-	cyc/s	0.020	196.3	596.9	4253.7	4
semaphore	4	tree_copy	0.050	-	trees	0.080	-	-	-	4
semaphore	4	untar	0.111	-	tars	0.160	-	-	-	4
semaphore	4	make_j	0.053	-	-	0.030	-	-	-	4
semaphore	4	cargo_build	3.117	-	-	7.150	-	-	-	4
semaphore	4	mixed_rw	0.034	-	-	0.160	-	-	-	4
semaphore	4	fsync_heavy	0.695	-	us	0.140	5577.1	9110.0	300200.1	4
semaphore	8	serial_cp	0.057	211.1	MB/s	0.120	-	-	-	8
semaphore	8	serial_dd	0.088	1448.7	MB/s	0.230	-	-	-	8
semaphore	8	parallel_write	0.018	659.9	MB/s	0.180	-	-	-	8
semaphore	8	parallel_read	0.007	1649.3	MB/s	0.010	-	-	-	8
semaphore	8	latency_write	1.173	-	us	10.670	28342.3	62865.3	99443.0	8
semaphore	8	latency_read	0.014	-	us	0.010	28.9	116.9	1016.8	8
semaphore	8	ns_ops	0.038	-	cyc/s	0.040	729.3	1022.8	5788.4	8
semaphore	8	tree_copy	0.120	-	trees	0.200	-	-	-	8
semaphore	8	untar	0.205	-	tars	0.310	-	-	-	8
semaphore	8	make_j	0.046	-	-	0.020	-	-	-	8
semaphore	8	cargo_build	7.265	-	-	15.830	-	-	-	8
semaphore	8	mixed_rw	0.026	-	-	0.190	-	-	-	8
semaphore	8	fsync_heavy	1.214	-	us	0.400	5639.2	8492.8	342678.7	8
semaphore	16	serial_cp	0.058	206.2	MB/s	0.120	-	-	-	16
semaphore	16	serial_dd	0.094	1365.8	MB/s	0.240	-	-	-	16
semaphore	16	parallel_write	0.018	649.7	MB/s	0.190	-	-	-	16
semaphore	16	parallel_read	0.006	1858.0	MB/s	0.010	-	-	-	16
semaphore	16	latency_write	2.328	-	us	21.660	53644.4	125100.5	169361.5	16
semaphore	16	latency_read	0.018	-	us	0.000	74.1	284.4	1929.0	16
semaphore	16	ns_ops	0.084	-	cyc/s	0.110	2032.9	5265.0	10582.7	16
semaphore	16	tree_copy	0.280	-	trees	0.460	-	-	-	16
semaphore	16	untar	0.475	-	tars	0.690	-	-	-	16
semaphore	16	make_j	0.042	-	-	0.030	-	-	-	16
semaphore	16	cargo_build	8.248	-	-	14.730	-	-	-	16
semaphore	16	mixed_rw	0.023	-	-	0.200	-	-	-	16
semaphore	16	fsync_heavy	2.358	-	us	1.220	7101.7	10618.2	13850.0	16
pool-8	1	serial_cp	0.053	228.1	MB/s	0.120	-	-	-	1
pool-8	1	serial_dd	0.088	1458.2	MB/s	0.160	-	-	-	1
pool-8	1	parallel_write	0.052	229.8	MB/s	0.140	-	-	-	1
pool-8	1	parallel_read	0.029	411.5	MB/s	0.000	-	-	-	1
pool-8	1	latency_write	0.222	-	us	0.990	6079.9	6325.7	6441.6	1
pool-8	1	latency_read	0.012	-	us	0.000	9.3	10.7	69.9	1
pool-8	1	ns_ops	0.014	-	cyc/s	0.000	93.9	151.5	154.5	1
pool-8	1	tree_copy	0.014	-	trees	0.010	-	-	-	1
pool-8	1	untar	0.032	-	tars	0.030	-	-	-	1
pool-8	1	make_j	0.098	-	-	0.030	-	-	-	1
pool-8	1	cargo_build	6.200	-	-	8.280	-	-	-	1
pool-8	1	mixed_rw	0.067	-	-	0.140	-	-	-	1
pool-8	1	fsync_heavy	0.337	-	us	0.040	3986.6	4166.6	4599.0	1
pool-8	4	serial_cp	0.054	220.2	MB/s	0.120	-	-	-	4
pool-8	4	serial_dd	0.087	1470.4	MB/s	0.170	-	-	-	4
pool-8	4	parallel_write	0.021	569.3	MB/s	0.140	-	-	-	4
pool-8	4	parallel_read	0.009	1275.1	MB/s	0.010	-	-	-	4
pool-8	4	latency_write	0.525	-	us	3.970	14710.9	18049.4	20095.1	4
pool-8	4	latency_read	0.012	-	us	0.000	13.4	93.9	463.6	4
pool-8	4	ns_ops	0.023	-	cyc/s	0.020	206.6	669.6	4013.6	4
pool-8	4	tree_copy	0.061	-	trees	0.110	-	-	-	4
pool-8	4	untar	0.080	-	tars	0.110	-	-	-	4
pool-8	4	make_j	0.050	-	-	0.030	-	-	-	4
pool-8	4	cargo_build	3.171	-	-	6.880	-	-	-	4
pool-8	4	mixed_rw	0.033	-	-	0.140	-	-	-	4
pool-8	4	fsync_heavy	0.632	-	us	0.160	5596.6	9284.1	249288.4	4
pool-8	8	serial_cp	0.054	220.3	MB/s	0.120	-	-	-	8
pool-8	8	serial_dd	0.090	1427.0	MB/s	0.170	-	-	-	8
pool-8	8	parallel_write	0.019	623.8	MB/s	0.140	-	-	-	8
pool-8	8	parallel_read	0.006	1909.9	MB/s	0.000	-	-	-	8
pool-8	8	latency_write	1.137	-	us	8.450	32962.7	49606.2	51513.9	8
pool-8	8	latency_read	0.014	-	us	0.000	34.8	135.1	675.7	8
pool-8	8	ns_ops	0.039	-	cyc/s	0.040	786.5	1143.6	5539.5	8
pool-8	8	tree_copy	0.139	-	trees	0.230	-	-	-	8
pool-8	8	untar	0.213	-	tars	0.320	-	-	-	8
pool-8	8	make_j	0.045	-	-	0.030	-	-	-	8
pool-8	8	cargo_build	5.423	-	-	9.490	-	-	-	8
pool-8	8	mixed_rw	0.025	-	-	0.170	-	-	-	8
pool-8	8	fsync_heavy	1.136	-	us	0.380	5661.4	9167.7	11608.8	8
pool-8	16	serial_cp	0.055	217.4	MB/s	0.120	-	-	-	16
pool-8	16	serial_dd	0.097	1322.4	MB/s	0.190	-	-	-	16
pool-8	16	parallel_write	0.019	635.9	MB/s	0.130	-	-	-	16
pool-8	16	parallel_read	0.006	1916.5	MB/s	0.010	-	-	-	16
pool-8	16	latency_write	2.342	-	us	17.760	67345.0	86276.4	93522.0	16
pool-8	16	latency_read	0.017	-	us	0.000	64.9	275.2	1513.1	16
pool-8	16	ns_ops	0.082	-	cyc/s	0.110	1926.2	5878.8	10733.3	16
pool-8	16	tree_copy	0.295	-	trees	0.470	-	-	-	16
pool-8	16	untar	0.447	-	tars	0.670	-	-	-	16
pool-8	16	make_j	0.048	-	-	0.030	-	-	-	16
pool-8	16	cargo_build	8.521	-	-	14.500	-	-	-	16
pool-8	16	mixed_rw	0.023	-	-	0.170	-	-	-	16
pool-8	16	fsync_heavy	2.094	-	us	1.210	6730.6	10142.6	13267.7	16
pool-16	1	serial_cp	0.056	215.8	MB/s	0.120	-	-	-	1
pool-16	1	serial_dd	0.083	1549.0	MB/s	0.230	-	-	-	1
pool-16	1	parallel_write	0.053	228.1	MB/s	0.130	-	-	-	1
pool-16	1	parallel_read	0.029	413.7	MB/s	0.000	-	-	-	1
pool-16	1	latency_write	0.173	-	us	1.280	4566.3	4914.0	5142.4	1
