path	writers	wall_ms	p50_us	p99_us	mean_us	useful_cpu_ms	queue%	max_consecutive	peak_in_flight	median_slowdown	p99_slowdown	max_slowdown	byte_exact
semaphore	1	1811	6198	8222	6262	9952	0.0	0	0	-	-	-	ok
pool-16	1	1492	4976	5964	5018	10133	0.1	13	64	-	-	-	ok
pool-8	1	1960	6787	8282	6848	9183	0.1	16	64	-	-	-	ok
semaphore	16	1284	59965	232614	71034	9970	91.8	0	0	9.6	37.1	46.7	ok
pool-16	16	804	48195	78696	46351	10265	2.4	64	128	9.6	15.7	18.3	ok
pool-8	16	3048	176533	358378	179419	10145	1.1	64	64	25.8	52.3	57.3	ok
pool-4	16	3210	166550	503563	189796	8896	0.5	25	64	33.2	100.3	126.4	ok
semaphore	8	1181	26887	115479	33769	9853	84.1	0	0	4.3	18.4	30.8	ok
pool-16	8	959	27402	39081	27141	10333	4.5	17	126	5.5	7.8	8.4	ok
pool-8	8	1233	36482	58453	36768	9076	3.3	17	64	5.3	8.5	8.8	ok
